timestamp,active_power,setpoint
2026-07-02 23:30:00,-29631,-25874
2026-07-03 00:00:00,-28415,-25074
2026-07-03 00:30:00,-26328,-22023
2026-07-03 01:00:00,-28837,-24662
2026-07-03 01:30:00,-21886,-19633
2026-07-03 02:00:00,-25586,-21835
2026-07-03 02:30:00,-22006,-17830
2026-07-03 03:00:00,-21523,-16377
2026-07-03 03:30:00,-15874,-11344
2026-07-03 04:00:00,-14847,-11891
2026-07-03 04:30:00,-11388,-8493
2026-07-03 05:00:00,-3062,-1445
2026-07-03 05:30:00,990,3213
2026-07-03 06:00:00,-658,2940
2026-07-03 06:30:00,6468,8355
2026-07-03 07:00:00,9592,12287
2026-07-03 07:30:00,4859,6778
2026-07-03 08:00:00,11552,12043
2026-07-03 08:30:00,18165,18089
2026-07-03 09:00:00,15855,15546
2026-07-03 09:30:00,17863,18549
2026-07-03 10:00:00,24156,24086
2026-07-03 10:30:00,22714,22781
2026-07-03 11:00:00,26626,24534
2026-07-03 11:30:00,22899,19952
2026-07-03 12:00:00,26456,22670
2026-07-03 12:30:00,21596,20024
2026-07-03 13:00:00,22154,18853
2026-07-03 13:30:00,23185,20717
2026-07-03 14:00:00,20332,16026
2026-07-03 14:30:00,21288,16650
2026-07-03 15:00:00,18375,13553
2026-07-03 15:30:00,16177,12302
2026-07-03 16:00:00,16612,11252
2026-07-03 16:30:00,8645,5147
2026-07-03 17:00:00,7867,4007
2026-07-03 17:30:00,4584,417
2026-07-03 18:00:00,4059,327
2026-07-03 18:30:00,2861,522
2026-07-03 19:00:00,-5601,-6607
2026-07-03 19:30:00,-6813,-10199
2026-07-03 20:00:00,-9475,-10659
2026-07-03 20:30:00,-16959,-17058
2026-07-03 21:00:00,-17474,-16224
2026-07-03 21:30:00,-19731,-19283
2026-07-03 22:00:00,-22033,-20778
2026-07-03 22:30:00,-25531,-24499
2026-07-03 23:00:00,-26165,-24230
2026-07-03 23:30:00,-26572,-25563
2026-07-04 00:00:00,-33034,-30558
2026-07-04 00:30:00,-33831,-29078
2026-07-04 01:00:00,-29667,-24690
2026-07-04 01:30:00,-27450,-24485
2026-07-04 02:00:00,-24815,-22189
2026-07-04 02:30:00,-29514,-24241
2026-07-04 03:00:00,-27882,-24536
2026-07-04 03:30:00,-21300,-18348
2026-07-04 04:00:00,-22937,-17438
2026-07-04 04:30:00,-17475,-13814
2026-07-04 05:00:00,-9491,-4717
2026-07-04 05:30:00,-5554,-2344
2026-07-04 06:00:00,-5806,-1319
2026-07-04 06:30:00,-1792,1019
2026-07-04 07:00:00,4330,7997
2026-07-04 07:30:00,6192,8221
2026-07-04 08:00:00,10072,11237
2026-07-04 08:30:00,12593,13223
2026-07-04 09:00:00,12885,12093
2026-07-04 09:30:00,17816,18719
2026-07-04 10:00:00,13771,14851
2026-07-04 10:30:00,16691,14785
2026-07-04 11:00:00,19865,20019
2026-07-04 11:30:00,15892,15782
2026-07-04 12:00:00,15872,14122
2026-07-04 12:30:00,21896,18169
2026-07-04 13:00:00,19045,17092
2026-07-04 13:30:00,14237,12380
2026-07-04 14:00:00,12782,10796
2026-07-04 14:30:00,16993,12684
2026-07-04 15:00:00,13958,9190
2026-07-04 15:30:00,8246,5070
2026-07-04 16:00:00,4692,303
2026-07-04 16:30:00,7281,4101
2026-07-04 17:00:00,663,-1896
2026-07-04 17:30:00,388,-3258
2026-07-04 18:00:00,-3245,-4693
2026-07-04 18:30:00,-6768,-8034
2026-07-04 19:00:00,-5631,-6994
2026-07-04 19:30:00,-11005,-11421
2026-07-04 20:00:00,-15729,-17778
2026-07-04 20:30:00,-28619,-29345
2026-07-04 21:00:00,-25898,-25640
2026-07-04 21:30:00,-24166,-23323
2026-07-04 22:00:00,-26712,-24602
2026-07-04 22:30:00,-28899,-25642
2026-07-04 23:00:00,-28605,-26498
2026-07-04 23:30:00,-35208,-31441
2026-07-05 00:00:00,-29414,-27371
2026-07-05 00:30:00,-32165,-29088
2026-07-05 01:00:00,-28534,-25904
2026-07-05 01:30:00,-31845,-27370
2026-07-05 02:00:00,-32501,-26615
2026-07-05 02:30:00,-24362,-21716
2026-07-05 03:00:00,-23190,-19461
2026-07-05 03:30:00,-22575,-17966
2026-07-05 04:00:00,-19198,-16036
2026-07-05 04:30:00,-20689,-17404
2026-07-05 05:00:00,-9074,-6300
2026-07-05 05:30:00,-7082,-4132
2026-07-05 06:00:00,-2892,494
2026-07-05 06:30:00,2002,4389
2026-07-05 07:00:00,2111,4400
2026-07-05 07:30:00,2784,4730
2026-07-05 08:00:00,5136,6691
2026-07-05 08:30:00,8519,9348
2026-07-05 09:00:00,15512,16919
2026-07-05 09:30:00,17255,17092
2026-07-05 10:00:00,14082,13835
2026-07-05 10:30:00,19763,19000
2026-07-05 11:00:00,17261,16007
2026-07-05 11:30:00,21900,19696
2026-07-05 12:00:00,19262,16820
2026-07-05 12:30:00,17147,14305
2026-07-05 13:00:00,17458,14521
2026-07-05 13:30:00,17360,15543
2026-07-05 14:00:00,16797,13230
2026-07-05 14:30:00,13578,10134
2026-07-05 15:00:00,8377,6084
2026-07-05 15:30:00,9017,7340
2026-07-05 16:00:00,5331,2237
2026-07-05 16:30:00,6034,2957
2026-07-05 17:00:00,5637,3825
2026-07-05 17:30:00,-3462,-5615
2026-07-05 18:00:00,-4294,-7322
2026-07-05 18:30:00,-5713,-8438
2026-07-05 19:00:00,-9608,-10907
2026-07-05 19:30:00,-14248,-15256
2026-07-05 20:00:00,-13251,-14088
2026-07-05 20:30:00,-23254,-21832
2026-07-05 21:00:00,-25052,-25601
2026-07-05 21:30:00,-29778,-27038
2026-07-05 22:00:00,-30758,-28928
2026-07-05 22:30:00,-27552,-25176
2026-07-05 23:00:00,-29070,-28323
2026-07-05 23:30:00,-33594,-30314
2026-07-06 00:00:00,-25876,-22785
2026-07-06 00:30:00,-27341,-23572
2026-07-06 01:00:00,-22834,-19122
2026-07-06 01:30:00,-26258,-23487
2026-07-06 02:00:00,-20631,-17723
2026-07-06 02:30:00,-22558,-17807
2026-07-06 03:00:00,-22802,-18754
2026-07-06 03:30:00,-16385,-12559
2026-07-06 04:00:00,-13648,-11083
2026-07-06 04:30:00,-14320,-9521
2026-07-06 05:00:00,-1398,1770
2026-07-06 05:30:00,349,3724
2026-07-06 06:00:00,3883,6772
2026-07-06 06:30:00,4868,6485
2026-07-06 07:00:00,6722,9772
2026-07-06 07:30:00,12475,12668
2026-07-06 08:00:00,11563,12770
2026-07-06 08:30:00,15105,16655
2026-07-06 09:00:00,20051,20860
2026-07-06 09:30:00,27828,27445
2026-07-06 10:00:00,21631,20933
2026-07-06 10:30:00,24709,23164
2026-07-06 11:00:00,25009,24331
2026-07-06 11:30:00,21573,18696
2026-07-06 12:00:00,25398,22414
2026-07-06 12:30:00,25217,20866
2026-07-06 13:00:00,25424,21585
2026-07-06 13:30:00,22816,18274
2026-07-06 14:00:00,19257,15025
2026-07-06 14:30:00,23086,18564
2026-07-06 15:00:00,17753,12766
2026-07-06 15:30:00,15310,12564
2026-07-06 16:00:00,12590,9007
2026-07-06 16:30:00,10275,7145
2026-07-06 17:00:00,4730,1927
2026-07-06 17:30:00,6964,3883
2026-07-06 18:00:00,3142,-818
2026-07-06 18:30:00,1485,-2614
2026-07-06 19:00:00,-4134,-7324
2026-07-06 19:30:00,-9299,-9547
2026-07-06 20:00:00,-5934,-6310
2026-07-06 20:30:00,-15082,-14513
2026-07-06 21:00:00,-22463,-23594
2026-07-06 21:30:00,-22542,-22087
2026-07-06 22:00:00,-20947,-20680
2026-07-06 22:30:00,-23802,-22760
2026-07-06 23:00:00,-22584,-20648
2026-07-06 23:30:00,-23312,-21481
2026-07-07 00:00:00,-24138,-22101
2026-07-07 00:30:00,-29222,-26660
2026-07-07 01:00:00,-28009,-23382
2026-07-07 01:30:00,-27497,-24216
2026-07-07 02:00:00,-26516,-21570
2026-07-07 02:30:00,-20189,-15354
2026-07-07 03:00:00,-17446,-14662
2026-07-07 03:30:00,-15847,-11325
2026-07-07 04:00:00,-11430,-6500
2026-07-07 04:30:00,-14229,-9943
2026-07-07 05:00:00,-6629,-2185
2026-07-07 05:30:00,-200,2413
2026-07-07 06:00:00,3231,4831
2026-07-07 06:30:00,7418,9776
2026-07-07 07:00:00,8539,10309
2026-07-07 07:30:00,10471,10768
2026-07-07 08:00:00,10663,12562
2026-07-07 08:30:00,16064,17598
2026-07-07 09:00:00,16705,15527
2026-07-07 09:30:00,19667,19050
2026-07-07 10:00:00,24771,22791
2026-07-07 10:30:00,25788,25401
2026-07-07 11:00:00,20868,20956
2026-07-07 11:30:00,21894,20442
2026-07-07 12:00:00,22581,19082
2026-07-07 12:30:00,25580,22658
2026-07-07 13:00:00,21639,18157
2026-07-07 13:30:00,23831,21546
2026-07-07 14:00:00,21414,16445
2026-07-07 14:30:00,20885,18375
2026-07-07 15:00:00,21003,16465
2026-07-07 15:30:00,13874,9992
2026-07-07 16:00:00,13214,8494
2026-07-07 16:30:00,7901,4926
2026-07-07 17:00:00,7517,5156
2026-07-07 17:30:00,8489,4861
2026-07-07 18:00:00,134,-3772
2026-07-07 18:30:00,1847,-1878
2026-07-07 19:00:00,-1566,-2768
2026-07-07 19:30:00,-9262,-12394
2026-07-07 20:00:00,-11946,-12681
2026-07-07 20:30:00,-17912,-17793
2026-07-07 21:00:00,-17427,-17983
2026-07-07 21:30:00,-23181,-21725
2026-07-07 22:00:00,-22333,-22798
2026-07-07 22:30:00,-18043,-18545
2026-07-07 23:00:00,-24735,-22758
2026-07-07 23:30:00,-25513,-22892
